Title,Budget,Rating,title,budget,genres,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,vote_average,vote_count
,,,Blondie,0.0,"[{'id': 35, 'name': 'Comedy'}]",en,Blondie,2.889,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1938-11-30,0.0,70.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,7.214,7.0
,,,"Peter Voss, Thief of Millions",0.0,"[{'id': 12, 'name': 'Adventure'}]",de,Der Mann ohne Namen,1.165,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1921-01-01,0.0,420.0,[],Released,0.0,0.0
,,,Love at Twenty,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",fr,L'Amour à vingt ans,5.278,"[{'id': 38936, 'logo_path': '/ypvTqUeQOxORhFEFlIaSPvPYD5J.png', 'name': 'Ulysse Productions', 'origin_country': ''}, {'id': 67, 'logo_path': '/1gkCUTbckMYjGam52H7qRyfuXS1.png', 'name': 'Unitec Films', 'origin_country': 'NZ'}, {'id': 65977, 'logo_path': None, 'name': 'Cinesecolo', 'origin_country': 'IT'}, {'id': 882, 'logo_path': '/iDw9Xxok1d9WAM2zFicI8p3khTH.png', 'name': 'TOHO', 'origin_country': 'JP'}, {'id': 1080, 'logo_path': '/6bZ0BiLDzCZSqVCjiSqweWwp9Ew.png', 'name': 'Beta Film', 'origin_country': 'DE'}, {'id': 12838, 'logo_path': None, 'name': 'Film Polski', 'origin_country': 'PL'}, {'id': 96743, 'logo_path': None, 'name': 'Zespół Filmowy ""Kamera""', 'origin_country': ''}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'PL', 'name': 'Poland'}]",1962-06-22,0.0,110.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Polish', 'iso_639_1': 'pl', 'name': 'Polski'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,6.7,41.0
,,,New World Disorder 9: Never Enough,0.0,[],en,New World Disorder 9: Never Enough,1.104,[],[],2008-12-08,0.0,69.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,6.0,3.0
,,,Sesame Street: Elmo Loves You!,0.0,"[{'id': 10751, 'name': 'Family'}]",en,Sesame Street: Elmo Loves You!,0.962,[],[],2010-01-05,0.0,46.0,[],Released,0.0,0.0
,,,Ariel,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",fi,Ariel,7.882,"[{'id': 2303, 'logo_path': None, 'name': 'Villealfa Filmproductions', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",1988-10-21,0.0,73.0,"[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",Released,7.046,248.0
,,,Shadows in Paradise,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",fi,Varjoja paratiisissa,6.192,"[{'id': 2303, 'logo_path': None, 'name': 'Villealfa Filmproductions', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",1986-10-17,0.0,76.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,7.174,270.0
,,,Four Rooms,4000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",en,Four Rooms,18.01,"[{'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}, {'id': 59, 'logo_path': '/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png', 'name': 'A Band Apart', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-09,4257354.0,98.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,5.759,2358.0
,,,Judgment Night,21000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,Judgment Night,9.62,"[{'id': 1644, 'logo_path': None, 'name': 'Largo Entertainment', 'origin_country': 'US'}, {'id': 182, 'logo_path': None, 'name': 'JVC', 'origin_country': 'JP'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-10-15,12136938.0,109.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,6.6,284.0
,,,Life in Loops (A Megacities RMX),42000.0,"[{'id': 99, 'name': 'Documentary'}]",en,Life in Loops (A Megacities RMX),3.064,"[{'id': 19123, 'logo_path': None, 'name': 'inLoops', 'origin_country': ''}]","[{'iso_3166_1': 'AT', 'name': 'Austria'}]",2006-01-01,0.0,80.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,7.708,24.0
,,,Sunday in August,0.0,"[{'id': 18, 'name': 'Drama'}]",de,Sonntag im August,2.671,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2004-09-02,0.0,15.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,7.738,21.0
,,,Star Wars,11000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,Star Wars,87.598,"[{'id': 1, 'logo_path': '/o86DbpburjxrqAzEDhXZcyE8pDb.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1977-05-25,775398007.0,121.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,8.208,18586.0
